task_id,benchmark,source_dataset,source_config,split,problem_index,unique_id,subject,subject_zh_hans,subject_en,question,question_zh_hans,question_en,answer_raw,answer,answer_format,scoring
olymmath_hard_10_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,11,OlymMATH-HARD-10-ZH,數論,数论,Number Theory,"將 0 至 9 這十個數字排列成首位不為零的不重複的十位數, 求能被 99 整除的十位數的個數.","将 0 至 9 这十个数字排列成首位不为零的不重复的十位数, 求能被 99 整除的十位数的个数.",Arrange the ten digits from 0 to 9 into a ten-digit number without repetition and with a non-zero first digit. Find the number of such ten-digit numbers that are divisible by 99.,285120,285120,math_expression,symbolic_equivalence
olymmath_hard_11_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,12,OlymMATH-HARD-11-ZH,數論,数论,Number Theory,"設 $n$ 個互異的正整數 $a_1, a_2, \dots, a_n$ 之和為 $2000$. 記 $A = \max\{a_1, a_2, \dots, a_n\}$. 求 $A+n$ 的最小值. （$n$ 不是事先給定的）","设 $n$ 个互异的正整数 $a_1, a_2, \dots, a_n$ 之和为 $2000$. 记 $A = \max\{a_1, a_2, \dots, a_n\}$. 求 $A+n$ 的最小值. （$n$ 不是事先给定的）","Let the sum of $n$ distinct positive integers $a_1, a_2, \dots, a_n$ be $2000$. Denote $A = \max\{a_1, a_2, \dots, a_n\}$. Find the minimum value of $A+n$. ($n$ is not given in advance)",110,110,math_expression,symbolic_equivalence
olymmath_hard_12_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,13,OlymMATH-HARD-12-ZH,代數,代数,Algebra,"給定正整數 $n=2024$. 求最大的整數 $M$ 的值, 使得對任意正整數 $a_{1}, a_{2}, \ldots, a_{n}$, 均有 $[\sqrt{a_{1}}]+[\sqrt{a_{2}}]+\cdots +[\sqrt{a_{n}}]\geqslant [\sqrt{a_{1}+a_{2}+\cdots +a_{n}+M\min \{a_{1},a_{2},\cdots ,a_{n}\}}]$, 其中, $[x]$ 表示不超過實數 $x$ 的最大整數.","给定正整数 $n=2024$. 求最大的整数 $M$ 的值, 使得对任意正整数 $a_{1}, a_{2}, \ldots, a_{n}$, 均有 $[\sqrt{a_{1}}]+[\sqrt{a_{2}}]+\cdots +[\sqrt{a_{n}}]\geqslant [\sqrt{a_{1}+a_{2}+\cdots +a_{n}+M\min \{a_{1},a_{2},\cdots ,a_{n}\}}]$, 其中, $[x]$ 表示不超过实数 $x$ 的最大整数.","Given a positive integer $n=2024$. Find the maximum value of the integer $M$ such that for any positive integers $a_{1}, a_{2}, \ldots, a_{n}$, we have $[\sqrt{a_{1}}]+[\sqrt{a_{2}}]+\cdots +[\sqrt{a_{n}}]\geqslant [\sqrt{a_{1}+a_{2}+\cdots +a_{n}+M\min \{a_{1},a_{2},\cdots ,a_{n}\}}]$, where $[x]$ denotes the greatest integer not exceeding the real number $x$.",1364850,1364850,math_expression,symbolic_equivalence
olymmath_hard_13_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,14,OlymMATH-HARD-13-ZH,代數,代数,Algebra,"已知 $m> 0$, 關於 $x$ 的方程 $(mx-3+\sqrt{2})^{2}-\sqrt{x+m}=0$ 在區間 $[0,1]$ 上恰有兩個不同的實根. 求實數 $m$ 的取值範圍.","已知 $m> 0$, 关于 $x$ 的方程 $(mx-3+\sqrt{2})^{2}-\sqrt{x+m}=0$ 在区间 $[0,1]$ 上恰有两个不同的实根. 求实数 $m$ 的取值范围.","Given $m> 0$, the equation $(mx-3+\sqrt{2})^{2}-\sqrt{x+m}=0$ in $x$ has exactly two distinct real roots in the interval $[0,1]$. Find the range of values of the real number $m$.","[3,193-132\sqrt{2}]","[3,193-132\sqrt{2}]",math_expression,symbolic_equivalence
olymmath_hard_14_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,15,OlymMATH-HARD-14-ZH,組合,组合,Combinatorics,"一個班有 25 名學生. 老師想要準備 $N$ 塊糖果舉辦競賽, 並按照成績分配糖果 (分數相同得到相同數目的糖果, 分數越少得到的糖果越少, 可以是 0 塊). 求 $N$ 的最小值, 使得無論競賽有多少題目, 以及學生的答題情況如何, 都可以這樣分配糖果.","一个班有 25 名学生. 老师想要准备 $N$ 块糖果举办竞赛, 并按照成绩分配糖果 (分数相同得到相同数目的糖果, 分数越少得到的糖果越少, 可以是 0 块). 求 $N$ 的最小值, 使得无论竞赛有多少题目, 以及学生的答题情况如何, 都可以这样分配糖果.","A class has 25 students. The teacher wants to prepare $N$ candies for a competition and distribute them according to grades (equal scores receive equal numbers of candies, lower scores receive fewer candies, which can be 0). Find the minimum value of $N$ such that regardless of how many questions are in the competition and how students answer the questions, the candies can be distributed in this way.",600,600,math_expression,symbolic_equivalence
olymmath_hard_15_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,16,OlymMATH-HARD-15-ZH,組合,组合,Combinatorics,"設 $n$ 為正整數, 集合 $T_{n}$ 為數集 $A_{n}=\{k \mid k \in \mathbf{Z}_{+}, 且 k \leqslant n\}$ 的一個子集, 且 $T_{n}$ 中任意兩個數之差不等於 4 或 7. 若 $T_{n}$ 的元素個數的最大值記為 $f_{n}$ (如 $f_{1}=1$, $f_{2}=2$), 求 $\sum_{n=1}^{2023}f_{n}$ 的值.","设 $n$ 为正整数, 集合 $T_{n}$ 为数集 $A_{n}=\{k \mid k \in \mathbf{Z}_{+}, 且 k \leqslant n\}$ 的一个子集, 且 $T_{n}$ 中任意两个数之差不等于 4 或 7. 若 $T_{n}$ 的元素个数的最大值记为 $f_{n}$ (如 $f_{1}=1$, $f_{2}=2$), 求 $\sum_{n=1}^{2023}f_{n}$ 的值.","Let $n$ be a positive integer, and set $T_n$ be a subset of the set $A_n=\{k \mid k \in \mathbf{Z}_{+}, \text{ and } k \leqslant n\}$, such that the difference between any two numbers in $T_n$ is not equal to 4 or 7. If the maximum number of elements in $T_n$ is denoted as $f_n$ (for example, $f_1=1$, $f_2=2$), find the value of $\sum_{n=1}^{2023}f_n$.",932604,932604,math_expression,symbolic_equivalence
olymmath_hard_16_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,17,OlymMATH-HARD-16-ZH,數論,数论,Number Theory,"試求最大的正整數 $n \le 2025$ 使得存在正整數數列 $a_1 < a_2 < \cdots < a_n$, 使得 $a_i + a_j (1 \le i < j \le n)$ 互不相同, 且模 $4$ 意義下各餘數出現的次數相同.","试求最大的正整数 $n \le 2025$ 使得存在正整数数列 $a_1 < a_2 < \cdots < a_n$, 使得 $a_i + a_j (1 \le i < j \le n)$ 互不相同, 且模 $4$ 意义下各余数出现的次数相同.","Find the largest positive integer $n \le 2025$ such that there exists a strictly increasing sequence of positive integers $a_1 < a_2 < \cdots < a_n$, where all sums $a_i + a_j (1 \le i < j \le n)$ are distinct, and in modulo 4, each remainder appears the same number of times.",1296,1296,math_expression,symbolic_equivalence
olymmath_hard_17_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,18,OlymMATH-HARD-17-ZH,數論,数论,Number Theory,"記 $[x]$ 表示不超過實數 $x$ 的最大整數. 數列 $\{x_n\}$ 滿足: $x_1 = 1$, $x_{n+1} = 4x_n + [\sqrt{11}x_n]$. 求 $x_{2021}$ 的個位數字.","记 $[x]$ 表示不超过实数 $x$ 的最大整数. 数列 $\{x_n\}$ 满足: $x_1 = 1$, $x_{n+1} = 4x_n + [\sqrt{11}x_n]$. 求 $x_{2021}$ 的个位数字.","Let $[x]$ denote the greatest integer not exceeding the real number $x$. The sequence $\{x_n\}$ satisfies: $x_1 = 1$, $x_{n+1} = 4x_n + [\sqrt{11}x_n]$. Find the units digit of $x_{2021}$.",9,9,math_expression,symbolic_equivalence
olymmath_hard_18_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,19,OlymMATH-HARD-18-ZH,幾何,几何,Geometry,"已知正三稜錐 $P-ABC$ 與正三稜錐 $Q-ABC$ 內接於同一個單位球 $O$, 兩頂點 $P$, $Q$ 在底面 $ABC$ 的異側. 設二面角 $P-AB-C$, 二面角 $Q-AB-C$ 的平面角分別為 $\alpha$, $\beta$. 求 $AB \tan(\alpha + \beta)$ 的值.","已知正三棱锥 $P-ABC$ 与正三棱锥 $Q-ABC$ 内接于同一个单位球 $O$, 两顶点 $P$, $Q$ 在底面 $ABC$ 的异侧. 设二面角 $P-AB-C$, 二面角 $Q-AB-C$ 的平面角分别为 $\alpha$, $\beta$. 求 $AB \tan(\alpha + \beta)$ 的值.","Given two regular triangular pyramids $P-ABC$ and $Q-ABC$ inscribed in the same unit sphere $O$, with the two vertices $P$ and $Q$ on opposite sides of the base $ABC$. Let the plane angles of the dihedral angles $P-AB-C$ and $Q-AB-C$ be $\alpha$ and $\beta$ respectively. Find the value of $AB \tan(\alpha + \beta)$.",-\frac{4\sqrt{3}}{3},-\frac{4\sqrt{3}}{3},math_expression,symbolic_equivalence
olymmath_hard_19_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,20,OlymMATH-HARD-19-ZH,代數,代数,Algebra,"在 $\triangle ABC$ 中, $AB = AC$, $\angle BAC = 30^\circ$. 在邊 $AB$ 上取五等分點 $T_1$, $T_2$, $T_3$, $T_4$, 點 $A$, $T_1$, $T_2$, $T_3$, $T_4$, $B$ 順次排列. 記 $\theta_k = \angle BT_k C$ ($k = 1, 2, 3, 4$). 求 $\tan A \cdot \tan \theta_1 + \sum_{k=1}^3 \tan \theta_k \cdot \tan \theta_{k+1} - \tan \theta_4 \cdot \tan B$ 的值.","在 $\triangle ABC$ 中, $AB = AC$, $\angle BAC = 30^\circ$. 在边 $AB$ 上取五等分点 $T_1$, $T_2$, $T_3$, $T_4$, 点 $A$, $T_1$, $T_2$, $T_3$, $T_4$, $B$ 顺次排列. 记 $\theta_k = \angle BT_k C$ ($k = 1, 2, 3, 4$). 求 $\tan A \cdot \tan \theta_1 + \sum_{k=1}^3 \tan \theta_k \cdot \tan \theta_{k+1} - \tan \theta_4 \cdot \tan B$ 的值.","In $\triangle ABC$, $AB = AC$, $\angle BAC = 30^\circ$. On side $AB$, take five equal division points $T_1$, $T_2$, $T_3$, $T_4$, with points $A$, $T_1$, $T_2$, $T_3$, $T_4$, $B$ arranged in sequence. Let $\theta_k = \angle BT_k C$ ($k = 1, 2, 3, 4$). Find the value of $\tan A \cdot \tan \theta_1 + \sum_{k=1}^3 \tan \theta_k \cdot \tan \theta_{k+1} - \tan \theta_4 \cdot \tan B$.",-5 - \frac{10 \sqrt{3}}{3},-5 - \frac{10 \sqrt{3}}{3},math_expression,symbolic_equivalence
olymmath_hard_20_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,21,OlymMATH-HARD-20-ZH,組合,组合,Combinatorics,"給定一個 $2022 \times 2022$ 的方格表.在方格表的每格中填入 $A$, $B$, $C$, $D$ 四種顏色之一. 若方格表中每一個 $2 \times 2$ 的正方形都有四種顏色, 求有多少種不同的完美表格.","给定一个 $2022 \times 2022$ 的方格表.在方格表的每格中填入 $A$, $B$, $C$, $D$ 四种颜色之一. 若方格表中每一个 $2 \times 2$ 的正方形都有四种颜色, 求有多少种不同的完美表格.","Given a $2022 \times 2022$ grid. Each cell in the grid is filled with one of the four colors $A$, $B$, $C$, $D$. If every $2 \times 2$ square in the grid contains all four colors, find how many different perfect grids there are.",12 \times 2^{2022} - 24,12 \times 2^{2022} - 24,math_expression,symbolic_equivalence
olymmath_hard_21_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,22,OlymMATH-HARD-21-ZH,數論,数论,Number Theory,"設正整數 $a$, $b$, $c$, $d$ 滿足 $a < b < c < d$, 且其中任意三個兩兩不同的數都可作為一個鈍角三角形的三邊長. 求 $d$ 的最小值.","设正整数 $a$, $b$, $c$, $d$ 满足 $a < b < c < d$, 且其中任意三个两两不同的数都可作为一个钝角三角形的三边长. 求 $d$ 的最小值.","Let positive integers $a$, $b$, $c$, $d$ satisfy $a < b < c < d$, and any three distinct numbers among them can form an obtuse triangle with these three numbers as the side lengths. Find the minimum value of $d$.",14,14,math_expression,symbolic_equivalence
olymmath_hard_22_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,23,OlymMATH-HARD-22-ZH,代數,代数,Algebra,"設函式 $f(x)=\sin^4 \omega x - \sin \omega x \cdot \cos \omega x + \cos^4 \omega x (\omega > 0)$. 若存在 $a, b \in [0, \pi]$, 使得 $f(a) + f(b) = \frac{9}{4}$, 求 $\omega$ 的最小值.","设函数 $f(x)=\sin^4 \omega x - \sin \omega x \cdot \cos \omega x + \cos^4 \omega x (\omega > 0)$. 若存在 $a, b \in [0, \pi]$, 使得 $f(a) + f(b) = \frac{9}{4}$, 求 $\omega$ 的最小值.","Let function $f(x)=\sin^4 \omega x - \sin \omega x \cdot \cos \omega x + \cos^4 \omega x (\omega > 0)$. If there exist $a, b \in [0, \pi]$ such that $f(a) + f(b) = \frac{9}{4}$, find the minimum value of $\omega$.",\frac{7}{12},\frac{7}{12},math_expression,symbolic_equivalence
olymmath_hard_23_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,24,OlymMATH-HARD-23-ZH,組合,组合,Combinatorics,"給定一個3行2025列的方格表, 一隻螞蟻從左下角的格出發, 每次可移動到有公共邊的格. 若螞蟻不重複地走遍方格表的每個格並且最終到達方格表的右上角, 求不同的走法有多少種.","给定一个3行2025列的方格表, 一只蚂蚁从左下角的格出发, 每次可移动到有公共边的格. 若蚂蚁不重复地走遍方格表的每个格并且最终到达方格表的右上角, 求不同的走法有多少种.","Given a $3\times 2025$ grid, an ant starts from the bottom-left cell and can move to any adjacent cell that shares an edge. If the ant visits every cell of the grid exactly once and finally reaches the top-right corner, how many different paths are possible?",2^2023,2^2023,math_expression,symbolic_equivalence
olymmath_hard_24_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,25,OlymMATH-HARD-24-ZH,幾何,几何,Geometry,"已知雙曲線 $x^2 - \frac{y^2}{3} = 1$ 的左, 右焦點為 $F_1$, $F_2$, 過 $F_2$ 的直線與雙曲線右支交於 $A$, $B$ 兩點. 求 $\triangle AF_1F_2$, $\triangle BF_1F_2$ 的內切圓半徑之和的取值範圍.","已知双曲线 $x^2 - \frac{y^2}{3} = 1$ 的左, 右焦点为 $F_1$, $F_2$, 过 $F_2$ 的直线与双曲线右支交于 $A$, $B$ 两点. 求 $\triangle AF_1F_2$, $\triangle BF_1F_2$ 的内切圆半径之和的取值范围.","Given that the left and right foci of the hyperbola $x^2 - \frac{y^2}{3} = 1$ are $F_1$ and $F_2$, a line passing through $F_2$ intersects the right branch of the hyperbola at points $A$ and $B$. Find the range of values for the sum of the radii of the incircles of triangles $\triangle AF_1F_2$ and $\triangle BF_1F_2$.","\left[2, \frac{4}{3}\sqrt{3}\right)","\left[2, \frac{4}{3}\sqrt{3}\right)",math_expression,symbolic_equivalence
olymmath_hard_25_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,26,OlymMATH-HARD-25-ZH,數論,数论,Number Theory,"已知對任意的正整數 $n$, $\tau(n)$ 表示 $n$ 的正約數的個數, $\varphi(n)$ 表示與 $n$ 互質但是小於 $n$ 的正整數的個數. 若正整數 $n$ 滿足, $n, \tau(n), \varphi(n)$ 中其中之一為其他兩數的算術平均, 則稱為好數. 求共有多少個好數.","已知对任意的正整数 $n$, $\tau(n)$ 表示 $n$ 的正约数的个数, $\varphi(n)$ 表示与 $n$ 互质但是小于 $n$ 的正整数的个数. 若正整数 $n$ 满足, $n, \tau(n), \varphi(n)$ 中其中之一为其他两数的算术平均, 则称为好数. 求共有多少个好数.","For any positive integer $n$, $\tau(n)$ represents the number of positive divisors of $n$, and $\varphi(n)$ represents the number of positive integers that are less than $n$ and coprime to $n$. If a positive integer $n$ satisfies that one of $n$, $\tau(n)$, $\varphi(n)$ is the arithmetic mean of the other two, then $n$ is called a good number. Find how many good numbers exist.",4,4,math_expression,symbolic_equivalence
olymmath_hard_26_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,27,OlymMATH-HARD-26-ZH,數論,数论,Number Theory,"設 $a, b, c$ 是正有理數, 且 $a+1/b, b+1/c, c+1/a$ 均為整數. $a + b + c$ 的所有可能的值構成了集合 $S$, 求 $S$ 中所有元素之積.","设 $a, b, c$ 是正有理数, 且 $a+1/b, b+1/c, c+1/a$ 均为整数. $a + b + c$ 的所有可能的值构成了集合 $S$, 求 $S$ 中所有元素之积.","Let $a, b, c$ be positive rational numbers such that $a+1/b, b+1/c, c+1/a$ are all integers. The set of all possible values of $a + b + c$ forms a set $S$. Find the product of all elements in $S$.",\frac{21}{2},\frac{21}{2},math_expression,symbolic_equivalence
