id,message,label,split
14,您好，曾小姐。您於Mosdress的訂單因銀行授權逾時被暫停，請重新驗證卡號。賣家未完成金流簽署，平台要求買家先行付款至指定帳戶以利備貨。,1,harmful
15,momo 購物網通知：由於您上次交易未完成付款，系統將暫時凍結帳號。請立即於 https://momopay-auth.com 驗證身份恢復購物功能。若超過期限將永久停權。,1,harmful
16,【蝦皮通知】親愛的買家您好，我們偵測到您帳號存在異常登入，為保障資金安全，請立即前往 https://shopee-twlogin.com 驗證身分。若未完成操作，帳號將被凍結並限制出金。,1,harmful
17,會員25683222您好，包裹編號 #TW823745 因賣家匯款銀行服務受限，暫時完成交易，賣場平台需完成交易才能派發貨物。故先匯款至此第三方帳號以完成賣場認證。屆時會寄送您的商品。,1,harmful
18,您好尊貴的會員，您的回饋金即將失效，登入帳號確認領取。若逾期未操作，點數將自動歸零且無法補發。,1,harmful
19,蝦皮商城提醒：您的訂單 #SPTW2983 因付款問題被暫停，請立即於 https://shopee-paymentcheck.com 重新確認信用卡資訊。若未完成，系統將自動取消訂單。,1,harmful
20,用戶您好，為配合系統升級，我們需要您提供上傳人像與手持證件自拍照以通過身分認證與信用卡OTP以完成強化認證，否則帳戶將被凍結。,1,harmful
21,全家便利商店提醒：您的包裹於物流中心等待重新驗證，請前往 https://fami-service-tw.com 更新收件資訊。若三天內未完成，包裹將退回寄件人。,1,harmful
22,【7-ELEVEN 電子支付】由於近期安全升級，您的付款服務需重新綁定。請點擊 https://7pay-secure-tw.com 完成綁定程序，以免影響付款使用。,1,harmful
23,中華郵政客服通知：包裹因關稅文件不符暫時扣留，請上傳身份文件以繼續清關。若未回覆將自動銷毀包裹。,1,harmful
24,因系統偵測到您的帳號存在異常登入行為，您於為防止盜刷，將在24小時後自動註銷帳號，請立即前往 https://shopee-wallet-tw.com 進行安全驗證。,1,harmful
25,PChomePay 提醒您：由於銀行系統維護，請您至 https://pchome-payverify.com 確認帳號資訊以恢復付款功能。未驗證者將無法完成後續交易。,1,harmful
26,您好，我在你的賣貨便賣場想買東西但沒辦法下單耶，一直顯示要賣家完成金流驗證。客服傳了這個QRCode給我，叫我掃描進去操作，你先弄一下我在下單。,1,harmful
27,親，你的訂單好像出現錯誤，系統說地址或付款資料不完整，我們是賣家無法操作，幫我掃這個連結補一下就能完成訂單，我先幫你把商品保留，完成後會立即寄送貨物。,1,harmful
28,【博客來客服中心】您的付款遭銀行拒絕，付款失敗交易被暫停，請更新信用卡資料並請點此重新輸入卡號完成付款。若48小時內未更新，訂單將自動取消。,1,harmful
29,全聯提醒：您的紅利點數將於今日23:59失效，請前往 https://pxmart-bonus-tw.com 登入確認領取。若逾期將無法補發。,1,harmful
30,"趙小姐您好，系統顯示還要先完成金流驗證才能下單。因為我人在香港、沒有台幣帳戶，能否請您先幫我轉 20,000 台幣到這個帳戶，先讓銀行有信任值資金才能流通。我等您轉完，我會把商品差價還您。謝謝您幫忙！",1,harmful
31,您好，我是之前與您聯繫過的投顧助理，怎麼還沒有賴我？現在賴我，自營商有牌導師會免費送三檔飆股給你喔。,1,harmful
32,剛收到小王顧問的訊息，他貼了這週必買清單 https://investlink.com，你先去看看吧，反正沒損失。,1,harmful
33,群裡說，今天盤中可能有幾檔爆拉股，我已經準備好資金，這次真的是穩賺不賠。,1,harmful
34,你好，我是老師的助理啦，老師要我用他的賴跟你聯繫，我把上次老師推薦的基金都配置好了，他建議再加碼一支，你覺得呢？,1,harmful
35,小王提醒，這幾檔短線股波動大，但收益潛力其實很高，老師帶單穩賺，想跟上的可以先加Line群。,1,harmful
36,新手也不用怕，老師每天盤中喊單示範，實戰操作透明，我跟著也賺到了一點。,1,harmful
37,群裡大哥分享的套利策略 https://tinyurl.com/profitgroup 已經實測過了，很安全，你可以參考。,1,harmful
38,我剛跟陳老師聊過，他說下週有一檔高報酬股，想穩定加碼的人可以先觀察行情。,1,harmful
39,我剛下載了群裡推薦的APP，跟著老師操作後今天收益增加了，老師會提供內部的帳戶，這樣才會有特權資格。,1,harmful
40,李老師貼的這檔股，法人正在悄悄布局，短期可能翻倍，我已經小額進場，你要不要跟？,1,harmful
41,群裡分享本週潛力股清單 https://bit.ly/3profitlist，你先看，覺得不錯再決定跟不跟。,1,harmful
42,我剛把退休金投入群裡老師推薦的組合，今天收益還不錯，你也把退休金投進去，錢放著不會變多只會貶值。,1,harmful
43,小王顧問說這檔股明天可能拉升，先觀察訊號再決定進場會更安全，你覺得呢？,1,harmful
44,老潘，我上週跟著老師策略操作，三天就有小收益，但因為是限時限量的，我只跟你說，記得要再網路上保密。,1,harmful
45,群裡大哥提醒，短線高勝率股票已整理，非老師導向，但數據完整，你可以先觀察。,1,harmful
46,內部公告：本週科技股短線潛力名單已公開，成員可參考操作策略及停損建議，投資顧問提供保本保證，若未達標，本團隊包賠差額。,1,harmful
47,短線套利組合已完成測試，完整操作步驟與即時訊號請參考 https://investnow.com。,1,harmful
48,本群提供每日盤中提示與分批加碼方案，適合有風險承受能力的投資者，請留意策略更新。,1,harmful
49,最新基金配置建議已整理完成，非口語化策略表附於群內資料夾，成員可自行調整操作規模。,1,harmful
50,內部消息：本週高報酬潛力股已整理，建議觀察法人資金流與交易量，非教師個人推薦。,1,harmful
51,海外ETF短線套利策略已完成回測，數據透明，操作手冊與進出場建議已上傳群組資料庫。,1,harmful
52,重要通知：部分短線股票即將解禁，成員可依群內指示分批布局，以提升潛在收益。,1,harmful
53,短期內高回報投資組合策略 https://tinyurl.com/shortprofit 已公開，請非新手成員參考使用。,1,harmful
54,內部分析顯示，科技類股短期內可能出現翻倍機會，策略與風控方法均已整理於資料清單中。,1,harmful
55,成員公告：本週潛力股清單已更新，操作建議及分批加碼方法均附於群內文件，請查收。,1,harmful
56,本群提供實戰模擬與短線操作策略，歷史數據回測透明，可協助成員掌握市場脈動。,1,harmful
57,最新操作策略已附連結 https://bit.ly/investplan，短線潛力股及停利停損建議可參考。,1,harmful
58,投資組合風控方案已整理完成，包含短線及中線操作步驟，成員可依自身資金量進行調整。,1,harmful
59,內部公告：海外虛擬幣套利策略已上傳，數據完整，非教師推薦，僅供觀察學習使用。,1,harmful
60,本週短線股票策略已完成回測與整理，非口語化操作方案附於群內資料夾，限內部成員參考。,1,harmful
61,恭喜您被選為本次限量投資會員！只需先註冊並綁定身份，就能參與月報酬超過 15% 的專屬配額，名額有限，錯過需再等 6 個月；操作很簡單，請先到我們的專屬頁面 www.taiwan-invest.vip 完成 KYC 即可開始賺錢。,1,harmful
62,本平台推出『零風險套利』方案，專為小資族設計，系統會自動幫您在數個交易所間套利賺取利差，已上線測試用戶回報良好；只要匯入第一筆啟動金即可開啟智能套利。,1,harmful
63,您符合「低利救急貸」名單資格！本行合作單位提供優惠利率，限量名額、資格即將失效，請儘速回覆並完成線上簽約程序以保留配額。通知內含專屬連結操作步驟簡單，完成後即可享優惠。,1,harmful
64,您已被列入政府『緊急補助貸款』候選名單，若您願意先繳交少額處理費用即可完成審核並保留補助資格。我們將代為辦理所有文件與申請流程，操作簡單、名額有限，請於收到通知後回覆以免資格失效。,1,harmful
65,國稅局退稅通知：經系統比對，您有未領退稅金待發放。為避免款項逾期作廢，請立即至專屬驗證頁面完成身份驗證與銀行帳戶綁定www.tax-refund-test.gov.tw，系統驗證通過後即可安排匯款。請依通知步驟上傳身分證正反面與戶籍或網銀憑證，驗證作業約需 3 個工作天；逾期視同放棄。,1,harmful
66,系統偵測到您的網路銀行帳號出現疑似「跨國登入」行為，為避免帳戶遭盜刷，請立即至專屬重設頁面完成密碼重設與二階段驗證。若未於通知期限內完成，系統可能暫時限制提款功能以保障資金安全。操作時請勿使用他人提供的第三方程式或在公開 Wi-Fi 下輸入身分憑證；如對通知有疑問，建議先撥打電話0936-784-558確認。,1,harmful
67,曾先生您好，因您涉及金錢糾紛需配合調查，請下載附件或點擊專屬連結查看詳情並上傳回覆資料。通知要求下載文件、安裝檔或上傳身分證影本及銀行資料以便後續處理。正規司法機構通常以書面或公文、並提供可核實的案件編號與聯絡窗口；若接獲緊急電子通知，請先以查證www.court-notice-test.gov.tw，切勿下載不明附件或安裝可疑程式。,1,harmful
68,王佩慈 小姐/先生，會計收到一份與合約細節不完全相符的發票，但金額與付款時限看似合理，遂依流程授權付款，事後發現款項已匯入疑似詐騙帳戶。此類案件常利用發票格式相似、供應商資料小幅變更或以「已確認」為由催促付款。測試範本提醒財務部門建立三方核對機制（發票→合約→供應商官方帳號），付款前以既有聯絡方式再次確認帳號異動，並把異常案件升級稽核。,1,harmful
69,您已被列入「緊急疫情／天然災害救助」候選名單，若您願意先於專屬連結完成線上登記並繳交少額處理費，即可優先列入補助名單並在審核後獲得撥款。上傳身分證影本、戶籍或銀行帳號以便後續作業；名額有限，逾期視同放棄。,1,harmful
70,"緊急付款請款：大家好，我目前在外地出差無法接電話，請財務協助立即支付供應商款項 NT$ 480,000。供應商要求更改匯款帳號，替換帳號已附在下方，匯款後請立刻回傳匯款證明給我確認。此為緊急狀況，請儘速處理，謝謝。— 張經理",1,harmful
71,行政處分與補正通知：趙 先生/小姐，您未於期限內申報個人所得稅，可能觸犯行政法規並將進入強制處分程序；若欲避免罰鍰或喪失權利，請依通知連結下載附件回覆或在 3 日內完成線上補正。,1,harmful
72,民政局通知：經系統比對，您名下有補貼款或退稅待領，為完成撥付需當即提供銀行帳號、戶籍資料與身分驗證碼；若無法立即提供，款項將依規退回或視同放棄。,1,harmful
73,限時空投來啦！只要質押一點點 ETH，就能拿高價 NFT 跟代幣，先綁定錢包再簽個訊息就OK。大家都在留言討論了，先到先得，錯過就沒囉～ www.cleaner-test.tw,1,harmful
74,加入我們的 Telegram 私募群吧！內部有超讚的投資機會，只要先入金到這個智能合約地址就能拿分配資格，手快有手慢就沒啦～ 。,1,harmful
75,這個 Web3 項目說保本又穩定，還跟知名基金合作呢！投入資金就能拿固定收益，看起來很安全，但合約裡好像有一些條款可以隨時調整，大家投資前一定要仔細看清楚，不要只聽宣傳話就亂投入啊！,1,harmful
76,欸～快更新你的 APP，這次的新功能超猛！點我給你的連結就能直接下載最新版本喔～（記得喔，這是新版，官方還沒上架）。安裝後就能用到之前沒的功能，比如自動整理資料、快速登入和新介面，而且聽說還有小彩蛋可以用。大家都在說很方便，別錯過了！順便提醒一下，下載時系統可能會要求一些額外權限，記得先看清楚再按下一步，不然可能會改變一些預設設定。真的很好用啦，想搶先試的就趕快點連結吧！,1,harmful
77,您好，我們是您銀行的客服，系統偵測到您的帳戶有異常登入紀錄；若您不立即連線給我們遠端協助平台，我們會被迫暫時凍結帳戶以保障資金安全。請點開下面連結安裝遠端工具並授權我們代為檢查與解除風險，整個流程很快，只要允許遠端控制我們就能幫您恢復正常。若不配合可能會造成提款功能暫停或交易被擋，麻煩您趕快操作並把授權代碼回傳給我，客服會全程協助。謝謝配合！,1,harmful
78,看到有人分享改版 APP 可以提前用新版功能，我也忍不住下載了，外觀跟原版一樣，看起來沒問題。但安裝時要給超多權限，好像能管理帳號和讀取資料，有點怪，但功能真的蠻方便的。其他人也說很好用，不過我覺得大家要注意，別隨便給太多授權，不然帳號或資料可能被控制喔！。,1,harmful
79,超幸運！我們在辦 FB 抽獎活動，轉發本貼文並標註三位好友就有機會抽中萬元好禮～趕快參加唷！有人已經中獎囉，私訊小幫手就可以確認抽獎資格。,1,harmful
80,大家快來投票拿獎勵！我們在群內辦投票活動，參加就有機會領取現金或加密代幣空投，只要連接你的錢包或在回覆中留下帳號／匯款資訊就能領取。主辦看起來很有公信力，還有人曬出已領到獎勵的截圖，大家手刀去連接了。,1,harmful
81,恭喜您被選為本行 VIP 客戶，本次專屬高利活存名額屬限量試辦，系統需您立即完成簡短驗證以保留資格。只要在專屬頁面確認身分與綁定帳戶，就能啟用高達月利 12% 的優先配額，系統顯示您已符合條件但須在今日內完成；過期將自動放棄資格。若有問題請直接回覆本訊息，我們會安排專員協助處理。,1,harmful
82,您已被列入『限量救急貸』優先名單，合作單位提供超低利率與快速放款服務，為保留額度請先完成預審並上傳身分證與最近三個月薪轉證明，同時繳交少額審核費以啟動申請程序。系統顯示今日內完成可立即放款，名額有限。若覺得有疑問可回覆本訊息與專員聯繫。我們會協助您加速作業。02-23455858,1,harmful
83,國稅局系統提醒：您有未領退稅款需在 48 小時內完成匯款資料驗證以利撥付，請在專屬驗證頁確認帳戶資訊並上傳存摺影本與身分證正反面，驗證通過後即安排匯款；逾期視同放棄並可能產生手續費。為加快審核請盡快回覆並完成步驟，否則款項將退回。,1,harmful
84,"財務同仁注意：供應商急催貨款，主管目前在外地無法接電話，已授權我先行處理付款，請立即將 NT$420,000 匯至本次變更之帳號並回傳匯款證明，事後會補簽與補件。此為緊急處理請款，請儘速完成以免延遲出貨。",1,harmful
85,限時 Web3 空投與流動性計畫開放申請，宣稱與知名投資機構合作並保本保證，為了確認投資人資格需先完成小額質押並簽署合約授權，系統會自動分配保本配額。名額稀少，建議盡快操作以免錯過優先名單。,1,harmful
86,保險理賠系統顯示您有未撥付之補償款，請在 24 小時內回覆保單號碼、身分證影本及銀行帳號以利撥付，若未回覆將視同放棄並可能影響後續理賠權益。請依訊息指示上傳相關文件以啟動審核。,1,harmful
87,您的信用卡被偵測到多筆異常消費，為保障您資金我們已暫時限制部分功能；若要立即解除限制請依客服指示完成線上驗證以便撤銷可疑交易，若超過 12 小時未處理可能會影響當日交易。客服會引導您完成驗證程序並協助恢復權限。,1,harmful
88,您好，交通稽查系統顯示您有一筆未繳違規罰款（案號：A2025-3856），請於 48 小時內至本專屬連結完成線上繳納以避免加罰或列入黑名單。頁面會要求您輸入車牌、身分證字號及信用卡資料完成繳費；若對罰單有異議可於繳費後提出申訴，但系統會先暫扣保證金以保障審核程序。為避免影響行照與年度檢驗，請儘速處理。,1,harmful
89,您好，本分行風控中心/檢調系統提醒：經監控比對，您的帳戶疑似被用作『車手帳戶』處理他人款項，涉及可疑資金往來（案號：M-2025367294）。為避免案件擴大與可能的刑事追訴，請於收到本通知後 48 小時內至專屬驗證頁完成身份與交易說明，上傳身分證正反面、最近三個月交易明細與常用收款帳號，以利調查人員比對並解凍帳戶；若無法配合，系統將暫時限制提款與轉帳功能，並可能移送司法處理。若您對此有疑問，請回覆本訊息或使用本行官方客服電話聯繫02-47783499 #366,1,harmful
90,您的信用卡被偵測到多筆異常消費，為保障您資金我們已暫時限制部分功能；若要立即解除限制請依客服指示完成線上驗證以便撤銷可疑交易，若超過 12 小時未處理可能會影響當日交易。24小時客服電話：0945677899,1,harmful
91,台大郭銘雄(璁錡)醫師/柯文哲醫師-生死的智慧，演講非常精采空腹吃水果勝癌症？,1,harmful
92,要家長別給孩子含糖飲料，因為多太多含糖飲料會引發白血病,1,harmful
93,看腳底的五種變化，可以斷定肝臟是否有病變,1,harmful
94,一人打針 全家感染…打疫苗的人散發出來的刺突蛋白微粒脫落…以空氣傳播而感染，連小孩、貓、狗都會被感染,1,harmful
95,日本90歲高齡禪宗僧侶富澤知芳大師提倡飲用健康的馬鈴薯生汁，馬鈴薯生汁療法據說可以有效控制癌細胞，也治好了很多人的肝病、糖尿病、高血壓、心臟病、腰痛、胸痛、肩膀痛。如果是正被慢性病所苦的人，請務必嘗試。有數十名癌症患者透過此自然食療逐漸痊癒！要記得，買來的馬鈴薯如果發芽，記得將發芽的部分切除，才能安心食用喔！,1,harmful
96,臺灣腎臟科醫生江守山日前表示：社區感染一定會來，（這次大墨爾本第二波疫情屬社區型）只是時間早晚的差別而已，隱匿感染的人數那麼多，潛伏期長又不一定有症狀，這是避免不了的事情。江守山說：「你的免疫力到最後才是硬道理」，不能老是依賴口罩、洗手等這些預防措施，大家還是要趕緊建立自己的免疫力。,1,harmful
97,快傳給家裡的長輩！聽說晚餐吃蝦又喝檸檬汁會產生砒霜，已經有好幾個案例了！為了健康千萬別再這樣吃了！,1,harmful
98,只要每天站著吃飯三分鐘就能燃脂10倍！懶人福音！,1,harmful
99,快轉給家人：手機藍光會進入腦子，導致慢性頭痛與癌症，夜間絕對要戴特殊眼鏡！,1,harmful
100,天下雜誌專欄：刮痧加上蜂蜜就能提高腦部血液循環，預防老人癡呆！,1,harmful
101,快讓長輩知道：每天塗抹生薑在頭髮上，生薑能刺激毛囊，掉髮、禿頭的都會長髮回來，效果超神準，聽說很多人用了就有用！,1,harmful
102,今年是電子煙的大熱年份，在年輕人中出現流行趨勢。有「行銷說辭」稱，電子煙可幫助煙民戒菸，並且電子煙及其二手煙無損健康、綠色環保，不傷肺。,1,harmful
103,一種名為「洗血」的醫美項目最近在市場上大為炒作。這項療程先從身體中抽取一定量的血液，再向血液注入臭氧，之後將處理過的血液輸回體內。這樣的操作可以「淨化」血液、排毒養顏、防癌抗癌。,1,harmful
104,最近手機裡的音檔一直轉：『豬肉裡有病菌全都滅光了，所以現在不能吃豬肉了！』說什麼豬有病菌、全死光，大家千萬別再吃豬肉，怕傳染到什麼東西。聽起來很驚悚對吧？沒錯，這條訊息現在好多人都在群組裡轉傳，說是保命秘訣。,1,harmful
105,幼兒打流感疫苗後，竟然變成第一型糖尿病！，家長看到就慌了，說疫苗不可打、免疫不好、反正都很危險。孩子打了，兩三週後就診斷糖尿病了，已經有好幾個案例了，醫生說是疫苗觸發！快告訴新生兒的父母們。,1,harmful
106,聽說：蘑菇＋茄子一起吃會中毒！有網友說這兩種東西一搭配，胃就會反應、消化不好，甚至拉肚子、頭昏，是因為兩者“相剋”。群組裡說：『蘑菇你可以吃，茄子也可以，但兩個一起就危險了，太可怕』，趕快提醒家裡長輩不要這樣吃。,1,harmful
107,家裡如果有老人家要注意：老人喝水容易嗆到會引發肺炎而死，建議早上起來、飯前飯後都改成“小口慢喝”或“含在嘴裡慢慢吞”養成新習慣。,1,harmful
108,傳給爸媽：只要早上起床喝鹼性水替代普通白開水，可中和體內酸性、預防所有疾病，說是醫界新趨勢，養生必做！,1,harmful
109,每天睡前敷珍珠粉／珊瑚粉面膜，再加青草茶，可以讓皮膚年輕 10 歲、皺紋消失、變得像二十歲那樣！照著做的長輩不用打電波音波皮膚也能跟陳美鳳一樣。,1,harmful
110,聽說只吃綠色蔬菜、不碰白米白麵澱粉，就能讓體內酵素激活、擺脫所有慢性病，平常的飲食全要改掉才算真健康！,1,harmful
111,有朋友轉給我：『龍眼泡水天天喝，近視從 800 度降到 200 度』。說什麼龍眼泡水、嫩葉、蜂蜜，喝了眼睛視力就大改善，度數狂掉，那簡直是奇蹟！很多人轉給長輩看說，晚上泡一壺龍眼水、睡前一杯，明早起來視力就變好。,1,harmful
112,群組說：喝冰水比喝熱水更能燃脂、提高代謝、瘦得快，尤其晚上起來一杯冰水，脂肪就會“凍結”、明早起來身體就不一樣！,1,harmful
113,每天只要喝一杯“天然排毒茶”，體內毒素就被洗掉、氣色變好、亞健康通通消失，聽說效果比健身房還強！快傳給身邊朋友，這則資訊不能只有我看到！,1,harmful
114,最近朋友圈裡傳說，台大醫院院長吳明賢特別送給中高齡的五句話：記性差不一定是阿茲海默症，健檢異常不是生病，是指標沒更新，年長者有身體疼痛是神經退化的正常反應，失眠不是病，老年人降血壓目標是<150/90毫米汞柱，家中有老人記得協助他們，別讓他們窮緊張了。,1,harmful
115,大家快看！最近聽說：只要早上起來空腹先喝一杯檸檬水，就能全面清除體內毒素、養顏美容、腸胃變清爽，長期下來身體會年輕好幾歲呢！傳給家裡的長輩，大家一起試試吧！,1,harmful
116,這個給你們看：晚上九點後不再吃東西，隔天起來體內垃圾就被清光、皮膚變好、肝腎恢復年輕。很多人已經開始試了，說效果超明顯！傳給爸媽，讓他們試試看這個養生新習慣。,1,harmful
117,欸，聽朋友說只吃綠色蔬菜、不碰白米白麵澱粉，就能讓體內的酵素被激活、所有慢性病都不找你了！這似乎是新一代養生祕訣！,1,harmful
118,快轉給長輩：有人說戴上紫色光學鏡片之後，身體就會進入‘夜視模式’，晚上睡沒覺也不累，眼睛瞬間變明亮了！聽起來像科幻片，但很多人說真的有效！,1,harmful
119,只要每天睡前在枕頭下放一塊晶瑩剔透的白水晶，說是能吸走你身體裡的病菌與負能量，起床後病痛就減輕了，真的太神奇了！我朋友因為這樣肝癌晚期直接好起來，現在都拔管能好好運動了呢～,1,harmful
120,快轉給家裡長輩：有人說，只要每晚睡前在枕頭下放一小片太陽能晶片，第二天起床就能讓體內癌細胞完全休眠、免疫系統瞬間升級，連服藥都可以慢慢減量，已經有不少人這樣做，效果超乎想像！,1,harmful
121,男人四十一枝花，女人四十豆腐渣,1,harmful
122,開放探討女性權益就被酸一定是___支持者，這種貼標籤的方式讓討論變得很困難。,1,harmful
123,那個☕女孩又在引戰，可悲台女。,1,harmful
124,一大杯咖啡又開始嘴砲。,1,harmful
125,那群猴子對話看了就頭痛。,1,harmful
126,聽起來像某種綠茶風格的發言，每次都要自助餐言論，再吵內射。,1,harmful
127,台女的八大特徵：愛慕虛榮、女權自助餐、眼光高到頭頂、自我中心、公主病、超愛發「女人要靠自己」的文章、愛把男生當工具人。,1,harmful
128,一群哥布林，可以先回山洞裡嗎？,1,harmful
129,破麻妳就是適合當單親媽媽啦！未來只會階級複製。,1,harmful
130,底層女生才會喜歡89，我看到那副猴子樣就算再有錢我也覺得噁心瞧不起，偏偏這種很會生小孩，未來台灣恐怕變成猴子島🐒🐒🐒,1,harmful
131,人醜工具人，人帥陽具人,1,harmful
132,母豬怎麼叫？我不要走路 幫我叫Uber 我不要走路 我討厭你媽,1,harmful
133,不懂嘲諷公主病的人為何會變成厭女/仇女，沒有這種行為的人為什麼會覺得被罵到？我真的很好奇欸。,1,harmful
134,渣男媽寶男的笑話不會有人跳出來喊歧視，男生被開玩笑出來喊就是沒度量。,1,harmful
135,他是小白臉誒，平常在家都不工作靠女人養，笑死軟飯男。,1,harmful
136,誒～她很愛穿著很醜又不會打扮跟本就是男人婆，一定沒有人敢娶她回家啦～老了變男人婆哪個男人不會跑。,1,harmful
137,"寧娶婊做妻,莫娶女權做婊",1,harmful
138,能叫婊子的都正妹，龍就是龍，什麼都稱不上！,1,harmful
139,他根本不是直男癌吧？他是仇女，有病沒救了。,1,harmful
140,我真的很討厭臭甲、死Gay，有夠噁心，每天一直在我身邊晃來晃去。,1,harmful
141,你是男生誒，要有肩膀，怎麼可以哭？娘娘腔啊？,1,harmful
142,蛤？你們家是老公帶孩子喔？男主外女主內誒，你這樣不行啦～,1,harmful
143,女生不適合當領導，因為她們太情緒化，容易受感情影響，決策不如男生果斷。,1,harmful
144,我覺得女生天生愛漂亮、愛打扮還很愛錢，所以她們對工作不夠專注，總是花太多時間在外表上。,1,harmful
145,男人求婚是浪漫、女人求婚是逼婚。,1,harmful
146,男生怎麼可以當家庭主夫？應該要在外打拼事業才對啊。,1,harmful
147,妳是女生欸，怎麼講話這麼難聽。,1,harmful
148,男生應該陽剛，女孩家要矜持。,1,harmful
149,你穿那什麼樣子？會翹著二郎腿笑聲還那麼大聲，有夠不像女生的。,1,harmful
150,生男孩讓他當律師，生女兒就寵著！,1,harmful
151,其實妳啊，長得漂亮，又聰明。只要再多一點氣質，更像個女人，一定很快就找到好男人了,1,harmful
152,男人以天下為家，女人以家為天下,1,harmful
153,生女兒？以後會嫁雞隨雞，嫁狗隨狗，生男孩多好,1,harmful
154,小明沒房沒車的怎麼結婚了？親家母沒說什麼嗎？,1,harmful
155,女子無才便是德,1,harmful
156,哇 她35歲還沒結婚喔？ 聽說大齡剩女本身個性都比較強勢、難搞。,1,harmful
157,女孩子溫柔、細心，適合做護理、幼教、行政工作。,1,harmful
158,男孩子強勢、果斷，適合做工程、警務或企業管理。,1,harmful
159,誒 他再一年就正式升級為魔法師了，哈哈哈,1,harmful
160,小美會抽煙喝酒刺青，很不檢點誒？這樣子很掉價誒,1,harmful
161,這些外省老畜生 還是擾亂台灣多久才開心? 什麼時候才會死光死盡啊? 我個人是不歧視外省豬後代啦 但現在已經這個年紀的外省人 拜託去死一死 別再害台灣了,1,harmful
162,退休軍公教外省人，就中國人水準阿。,1,harmful
163,在美式教育的時代裡，華人已經夠落後了啦。為什麼要學原始番人跟番婆？山上的孩子都不穿鞋子，他們只會喝酒，打架。,1,harmful
164,敏感番仔得了便宜還賣乖啊，乘了1.35也不會比較聰明,1,harmful
165,越南妹怎麼可能做得了我們的工作～,1,harmful
166,一堆加九跟女生都三寶。,1,harmful
167,阿三又出包了，阿三國不是理工科都超級好的嗎？,1,harmful
168,別再叫我幫你做數學作業了！我是亞洲人不代表我數學很好。,1,harmful
169,這才30塊錢你也要跟我計較喔？ 你很客家誒？,1,harmful
170,你沒喝過珍珠奶茶？不愧是鄉下來的土包子。,1,harmful
171,最近常常看有人講外勞被糾正要講移工，不懂誒阿勞仔就外勞啊？而且他們身上香水味超重。,1,harmful
172,喜憨兒喔？喜憨兒都流口水，我討厭跟流口水的人相處。,1,harmful
173,你有什麼問題？回去問醫生你全唐還是半唐啦。,1,harmful
174,他做事很慢反應根本唐寶寶，智商很低的人就不能完成正常工作。,1,harmful
175,每次假日就一堆泰勞在台北車站聚會霸佔空間，看了就很不舒服。,1,harmful
176,你是山地人喔，應該很會唱歌吧？,1,harmful
177,老李是支語警察誒，對我說的話要一一糾正，我只是看太多短影片被影響了而已。,1,harmful
