Sentence ID,Biased Sentences,Sources,Toxicity,T-A Combination
7332588,住天母原住民加分上台大醫好好笑,PTT,1,"[('原住民', '加分')]"
7332593,住天母的死有錢人然後用原住民身分加分？,PTT,1,"[('原住民', '加分')]"
7350176,原住民醫師開刀，旁邊會有原住民巫醫幫你加持那35%,PTT,0,"[('原住民', '35')]"
7350197,原住民酒測標準也有提高35%嗎,PTT,0,"[('原住民', '35')]"
7408457,很幽默樂觀的原住民學長,PTT,0,"[('原住民', '幽默')]"
7408543,笑死，正統學霸被原住民加分的番仔幹走女友,PTT,1,"[('原住民', '加分')]"
7440369,酒量要好而且要是原住民,PTT,0,"[('原住民', '酒量')]"
7560497,到底原住民傳統領域可以無限上綱到哪時,PTT,0,"[('原住民', '傳統領域')]"
7645719,原住民都死忠藍 ,PTT,0,"[('原住民', '藍')]"
7746269,沒差啦 反正原住民鐵藍還是會歸隊,PTT,0,"[('原住民', '藍')]"
7746289,原住民怎麼投不都是藍色,PTT,0,"[('原住民', '藍')]"
7749962,原住民口渴喝點小米酒啦,PTT,0,"[('原住民', '小米酒')]"
7758286,台東超藍的，一堆沒有判斷力的原住民,PTT,1,"[('原住民', '藍'), ('原住民', '台東')]"
7772689,原住民上山打獵狗沒有在牽繩的拉,PTT,0,"[('原住民', '打獵')]"
7945893,原住民拿補助款 很合理,PTT,0,"[('原住民', '補助')]"
7968004,很強啦 軍人加分總比高級原住民加分好,PTT,0,"[('原住民', '加分')]"
8242426,我也好想玩！會去看原住民獵殺的實況嗎？,PTT,0,"[('原住民', '獵殺')]"
8299285,原住民唱歌真的好好聽，都起雞皮疙瘩了,PTT,0,"[('原住民', '唱歌')]"
9242578,檳榔的話原住民也喜歡,PTT,0,"[('原住民', '檳榔')]"
9358598,又不是像原住民一樣是維持傳統文化才在打獵,PTT,0,"[('原住民', '打獵'), ('原住民', '文化')]"
9521122,目前可以確定酒駕是原住民共同文化,PTT,0,"[('原住民', '文化'), ('原住民', '酒駕')]"
9594433,你跟小米酒原住民，怎樣也喝不贏阿,PTT,0,"[('原住民', '小米酒')]"
10047498,原住民部落觀念很強 有好處一定要拿出來大家分,PTT,0,"[('原住民', '部落')]"
10151626,基本上藍原住民我是當成跟藍甲一樣的腦殘存在,PTT,1,"[('原住民', '藍')]"
10202134,原住民本來就比較會唱歌,PTT,0,"[('原住民', '唱歌')]"
10362216,原住民體力本身就很好了 還要加分喔,PTT,0,"[('原住民', '加分'), ('原住民', '體力')]"
10773585,原住民，真的是很愛喝酒,PTT,0,"[('原住民', '喝酒')]"
11339541,原住民合法有獵槍考試又加分  整個後山資源又多餓不死,PTT,0,"[('原住民', '獵槍'), ('原住民', '加分')]"
11531562,原住民很多吃檳榔抽菸喝酒的，牙齒都不太好,PTT,0,"[('原住民', '檳榔'), ('原住民', '喝酒')]"
11531571,支那高山族繼續吃檳榔啊,PTT,0,"[('高山族', '檳榔')]"
12609209,完全就是原住民大哥的感覺，只能說豪邁算不上美,PTT,0,"[('原住民', '豪邁')]"
13323628,花蓮就是偏鄉部落了，去找原住民買。,PTT,0,"[('原住民', '部落'), ('原住民', '花蓮')]"
14221404,你是原住民的話就可以+35%了,PTT,0,"[('原住民', '35')]"
14221409,原住民加分上台大醫科吧,PTT,0,"[('原住民', '加分')]"
14635236,原住民不意外 就說上山前不要喝小米酒吧,PTT,0,"[('原住民', '小米酒')]"
14784443,去深山部落，原住民應該是可以教你,PTT,0,"[('原住民', '部落')]"
14849313,原住民一堆打猴子打獵好玩的,PTT,0,"[('原住民', '打獵')]"
15087793,原住民學生寫會有135分,PTT,0,"[('原住民', '35')]"
15118678,原住民長相普遍好看，唱歌運動細胞也大多比較好,PTT,0,"[('原住民', '唱歌'), ('原住民', '運動細胞')]"
15251200,原住民也是藍到發黑,PTT,0,"[('原住民', '藍')]"
15342561,選原住民，可以+35%,PTT,0,"[('原住民', '35')]"
15458141,花蓮最猛，地形難攻，原住民+35%,PTT,0,"[('原住民', '花蓮'), ('原住民', '35')]"
15458574,開放原住民獵殺盜獵者啊,PTT,0,"[('原住民', '獵殺')]"
15519150,靠原住民身分加分呀就不用重考了,PTT,0,"[('原住民', '加分')]"
15756891,又是原住民加分出來的,PTT,0,"[('原住民', '加分')]"
15905207,依歷史經驗，生番會為了喝酒把土地賣了,PTT,0,"[('生番', '喝酒')]"
19983941,東部原住民部落戰力最猛,PTT,0,"[('原住民', '部落')]"
20407398,原住民一堆過爽爽，為了加分姓用阿嬤的姓都有,PTT,0,"[('原住民', '加分')]"
20415732,原住民就是欠噓加分,PTT,0,"[('原住民', '加分')]"
20415756,加分只限定有原住民血統唷,PTT,0,"[('原住民', '加分')]"
20585987,難怪原住民大多挺藍,PTT,0,"[('原住民', '藍')]"
20659946,原住民都鐵藍的,PTT,0,"[('原住民', '藍')]"
20672550,副總統可以搭配酒駕原住民發言人  加35%,PTT,0,"[('原住民', '35'), ('原住民', '酒駕')]"
20676157,山地人領補助拿國家好處夠了吧,PTT,0,"[('山地人', '補助')]"
20775196,原住民就是要喝酒,PTT,0,"[('原住民', '喝酒')]"
20978240,原住民不會加的啦，只會加分啦,PTT,0,"[('原住民', '加分')]"
20978319,原住民：加分啦幹,PTT,1,"[('原住民', '加分')]"
21106369,原住民一堆小孩，不會教還是硬要生，每年又可以領很多補助，本來就不建議生，生了又徒增社會成本，為了自己之私而剝奪小孩的應有權力真的不可取,PTT,1,"[('原住民', '補助')]"
21462450,他們原住民特考上回到他們鄉公所當公務人員就算是自己部落的明星了，幹嘛還讀得要死當醫師,PTT,0,"[('原住民', '部落')]"
21634621,享受原住民加分福利的時候,PTT,0,"[('原住民', '加分'), ('原住民', '福利')]"
21913753,給原住民土地還不是一樣賣掉原住民就是好吃懶做,PTT,1,"[('原住民', '好吃懶做')]"
21940557,皮膚黑就是染到原住民血統多 而且還上山打獵 難怪黑,PTT,0,"[('原住民', '打獵'), ('原住民', '黑')]"
21943358,原住民一輩子打獵那麼辛苦,PTT,0,"[('原住民', '打獵')]"
21954632,吵什麼吵，原住民要來出草了，通殺,PTT,0,"[('原住民', '出草')]"
21957974,還沒遇過有哪個原住民唱歌不好聽的,PTT,0,"[('原住民', '唱歌')]"
22276520,喝酒從沒醉過，可能我基因裡有原住民混血,PTT,0,"[('原住民', '喝酒')]"
22288784,原住民只會加分,PTT,1,"[('原住民', '加分')]"
23327091,原住民不是都有魚叉、獵槍嗎,PTT,0,"[('原住民', '獵槍')]"
24558978,山地原住民很藍的,PTT,0,"[('原住民', '藍')]"
25053931,原住民藍得要死還需要統戰嗎,PTT,1,"[('原住民', '藍')]"
25340433,到底憑什麼原住民的保障名額也不是他媽的什麼補償？就只是原住民文化經濟上相對弱勢，要給他們一個翻身的機會，既然搬來都市也很有錢了 還能用保障名額的理由是什麼,PTT,1,"[('原住民', '文化')]"
25388196,原住民贏了，今晚喝小米酒慶祝,PTT,0,"[('原住民', '小米酒')]"
25407230,天龍人原住民那憑什麼你們加分35%,PTT,0,"[('原住民', '加分')]"
25946390,原住民有時間吵這個事情，不如回去用族語把自己的神話寫一寫比較實際，一堆原住民寫自己神話只能用北京話描述，用族語根本寫不出來還整天反北京話根本精神錯亂,PTT,1,"[('原住民', '族語')]"
26065188,原住民自己不努力，還只靠+35%，怪得了誰,PTT,1,"[('原住民', '35')]"
26546200,原住民愛喝酒，酗酒,PTT,0,"[('原住民', '喝酒')]"
27570980,很有原住民的幽默,PTT,0,"[('原住民', '幽默')]"
27816518,哈哈原住民好幽默,PTT,0,"[('原住民', '幽默')]"
28349590,最喜歡看原住民得獎的致詞，感人又幽默,PTT,0,"[('原住民', '幽默')]"
28349601,原住民都超幽默,PTT,0,"[('原住民', '幽默')]"
28410403,原住民不意外啊，米酒檳榔都可以換選票了,PTT,0,"[('原住民', '檳榔')]"
28878266,只是想表達原住民加分仔就是垃圾,PTT,1,"[('原住民', '加分')]"
28905722,原住民的成功是一分天才加上35分的加分,PTT,0,"[('原住民', '加分')]"
28935455,還有一群既吃不到買辦利益，卻死忠投藍的東部原住民,PTT,0,"[('原住民', '藍')]"
29034353,原住民一人發一瓶小米酒就收兵了,PTT,0,"[('原住民', '小米酒')]"
29082454,原住民都投藍的，少在那邊,PTT,0,"[('原住民', '藍')]"
29082455,原住民幾乎都藍的 看花蓮當的多爽,PTT,0,"[('原住民', '花蓮'), ('原住民', '藍')]"
29514387,原住民加分上分哈哈哈,PTT,0,"[('原住民', '加分')]"
29669353,看到原住民覺得很會唱歌,PTT,0,"[('原住民', '唱歌')]"
29669358,隊徽放一個原住民拿著球棒出草 一個誇你很會喝、一個誇你很驍勇,PTT,0,"[('原住民', '出草')]"
29687167,原住民語不是加分用的嗎,PTT,0,"[('原住民', '加分')]"
29747924,原住民整天喝酒 蚊子都酒醉了,PTT,0,"[('原住民', '喝酒')]"
31557280,原住民又比起其他族群較有家族跟社區的文化,PTT,0,"[('原住民', '文化')]"
31976745,基本上原住民都很好客,PTT,0,"[('原住民', '好客')]"
32053181,原住民唱歌真的有穿透力,PTT,0,"[('原住民', '唱歌')]"
33575944,原住民語學了可以幹嘛? 沒加分根本沒人想學吧,PTT,0,"[('原住民', '加分')]"
33690903,而且原住民電池電量要增加35%,PTT,0,"[('原住民', '35')]"
34107192,原住民立委 議員咧？不要只會在議會唱歌,PTT,0,"[('原住民', '唱歌')]"
36227070,原住民真的都好純樸好樂天,PTT,0,"[('原住民', '樂天')]"
2232,我祖先遭原住民追殺時，我們並沒有叫原民賠償啊！,Youtube,0,"[('原住民', '賠償')]"
3720,原住民一直挺藍，因為國民黨戒嚴時的黨國洗腦。,Youtube,0,"[('原住民', '藍')]"
3750,原住民到目前還是多數親藍,Youtube,0,"[('原住民', '藍')]"
3949,原住民愛抽菸喝酒吃檳榔,Youtube,0,"[('原住民', '檳榔'), ('原住民', '喝酒')]"
3961,原住民族都有豐年祭，都喜歡喝酒,Youtube,0,"[('原住民', '喝酒'), ('原住民', '豐年祭')]"
3998,原住民偏藍還不是因為沒得選,Youtube,0,"[('原住民', '藍')]"
4002,因為原住民不知死活，再多投幾次國民黨日後他們的部落習俗活動都要申請才能批准了,Youtube,1,"[('原住民', '國民黨'), ('原住民', '部落')]"
4204,沒有原民文化的原住民還是原住民嗎？其實就是原民自助餐，取消原民福利就靠北,Youtube,1,"[('原住民', '福利'), ('原住民', '文化')]"
4217,捕魚狩獵織布被大家當成原住民文化的代表，這是事實,Youtube,0,"[('原住民', '文化'), ('原住民', '狩獵'), ('原住民', '織布')]"
4244,去弄個原住民的身份來用，就可以加分補助，難道原住民不是愛喝酒，好吃懶做得多？你們原住民，為什麼要搞出那麼多社會問題和印象？,Youtube,1,"[('原住民', '加分'), ('原住民', '好吃懶做'), ('原住民', '補助'), ('原住民', '喝酒')]"
4349,你也可以看看為什麼一堆人在法案通過能領補助後跳出來承認自己是原住民，不要臉的人很多，但要錢不要臉的人更多,Youtube,1,"[('原住民', '補助')]"
4403,聽說有個女原住民酒駕，還可以跑去當發言人，她甚至依原住民的身份免費申請法律扶助,Youtube,0,"[('原住民', '酒駕')]"
4409,一群大學生都偏綠，為什麼原住民不能偏藍？所以偏綠正常偏藍不正常？,Youtube,0,"[('原住民', '藍')]"
4437,我是原住民 我也實在不懂為什麼那麼多原住民偏藍 大概是很好收買吧！我猜,Youtube,0,"[('原住民', '藍')]"
4492,原住民民主觀念落後，所以傳統國民黨那套很有效，原住民其實很沒文化,Youtube,0,"[('原住民', '文化'), ('原住民', '國民黨')]"
4563,我對原住民的印象就是他們喝酒、喝酒、喝酒，為了賺錢什麼話都敢講，說的好像原住民沒酒不能活，當中也有很紅的，也是喝酒、喝酒、喝酒，文化在這些人的口中就是喝酒、喝酒、喝酒。,Youtube,0,"[('原住民', '喝酒'), ('原住民', '文化')]"
4659,原住民一堆補助，靠加分又愛天天喝酒,Youtube,1,"[('原住民', '加分'), ('原住民', '喝酒'), ('原住民', '補助')]"
4684,原住民有很大一部分都等著領補助，不事生產，做三天休兩天好吃懶做,Youtube,1,"[('原住民', '好吃懶做'), ('原住民', '補助')]"
4710,原住民投藍是因為他們被洗腦又沒腦子,Youtube,1,"[('原住民', '藍')]"
4718,問題是現在民進黨在保護台灣，然後原住民一樣投藍,Youtube,0,"[('原住民', '藍')]"
4802,原住民等於「補助」同義詞，最可悲的是拿這些優惠的通常都是不想承認自己是原住民身份的都市原住民，他們生活優渥，不懂母語也無文化氣息，卻享受政府無差別的優惠待遇,Youtube,1,"[('原住民', '補助'), ('原住民', '加分'), ('原住民', '優惠'), ('原住民', '文化')]"
4851,感覺原住民屬性較為樂天，他們確實比較在乎很近的事物，況且他們的福利薪資都是越來越好的,Youtube,0,"[('原住民', '樂天'), ('原住民', '福利')]"
4884,原住民愛喝小米酒啦,Youtube,0,"[('原住民', '小米酒')]"
4931,為什麼原住民都能加分現在的都不住山上了，要加分也是加給他的祖先吧，我就不信偏鄉原住民會有錢來都市讀書,Youtube,0,"[('原住民', '加分')]"
4938,國民黨給原住民比較多錢，原住民從國民黨那能看得到的利益也比較多，原住民當然支持國民黨,Youtube,0,"[('原住民', '國民黨')]"
4946,本來是想做金融界為什麼都偏藍，但後來發現原住民的更明顯偏藍,Youtube,0,"[('原住民', '藍')]"
7871,原住民，愛抽煙喝酒、嚼檳榔、孩子不讀書不學好,Youtube,0,"[('原住民', '檳榔'), ('原住民', '喝酒')]"
8882,你是原住民？你怎麼那麼白？,Youtube,0,"[('原住民', '外貌/形象')]"
8966,原住民的舞蹈.運動細胞跟唱歌都超強的,Youtube,0,"[('原住民', '唱歌'), ('原住民', '運動細胞')]"
8994,很喜歡原住民，喜歡他們的單純、樂觀和幽默，可惜環境沒有機會認識原住民,Youtube,0,"[('原住民', '文化'), ('原住民', '幽默')]"
9030,因為我黑，輪廓深，講話有腔調一定覺得我是原住民,Youtube,0,"[('原住民', '黑'), ('原住民', '輪廓')]"
9096,我皮膚黑五官也深，常常被路人問路是不是原住民，有時候都懷疑自己是不是有混到,Youtube,0,"[('原住民', '五官'), ('原住民', '黑')]"
9139,都市原住民運動能力也很強⋯⋯那是基因，跟黑人一樣,Youtube,0,"[('原住民', '運動能力'), ('原住民', '黑')]"
9149,別人知道我是原住民後，下一句都是「真假，好不像喔，啊你是不是有加分」,Youtube,0,"[('原住民', '加分')]"
9183,都已經是2023年了為什麼原住民還有一堆補助及加分？,Youtube,0,"[('原住民', '加分'), ('原住民', '補助')]"
9198,原住民唱歌真的很好聽，希望有再一集原住民特輯,Youtube,0,"[('原住民', '唱歌')]"
9230,有原住民在就有笑，樸實無華、樂天知命，非常舒服。,Youtube,0,"[('原住民', '樂天')]"
9237,原住民唱歌大多是好聽的，目前沒聽過難聽的。,Youtube,0,"[('原住民', '唱歌')]"
9345,原住民的補助真的很靠北都變梗了,Youtube,0,"[('原住民', '補助')]"
9751,只讓原住民有加分的機會實在不公平,Youtube,0,"[('原住民', '加分')]"
10033,原住民都很黑,Youtube,0,"[('原住民', '黑')]"
10062,像原住民加分那種嗎？,Youtube,0,"[('原住民', '加分')]"
14517,原住民文化究竟有多美好需要擁有打獵的資格，全世界都有部落在打獵，部落時代哪個不打獵,Youtube,0,"[('原住民', '打獵'), ('原住民', '部落'), ('原住民', '文化')]"
14786,保育類是因為原住民打獵才會瀕臨絕種,Youtube,0,"[('原住民', '打獵')]"
14901,為什麼只有原住民可以打獵？因為他們愛打獵？,Youtube,0,"[('原住民', '打獵')]"
14906,既然社會在進步，那原住民也該進步點，停止打獵這種落後行為,Youtube,0,"[('原住民', '打獵')]"
15256,原住民朋友就是天生樂觀好客！沒什麼心機！,Youtube,0,"[('原住民', '好客'), ('原住民', '樂觀')]"
15398,喜歡原住民的幽默感,Youtube,0,"[('原住民', '幽默')]"
15406,你怎麼會拿原住民的體力跟腳程當一般人的標準,Youtube,0,"[('原住民', '體力')]"
15456,原住民超樂天，值得總往壞處想的工業文明深思,Youtube,0,"[('原住民', '樂天')]"
15533,原住民的幽默完全展现,Youtube,0,"[('原住民', '幽默')]"
15587,原住民式的幽默,Youtube,0,"[('原住民', '幽默')]"
16532,會唱歌確實是原住民文化的元素，所以很會唱歌很原住民本來就沒什麼，就像吃日本料理很日本一樣,Youtube,0,"[('原住民', '唱歌'), ('原住民', '文化')]"
16765,喝酒？原住民都很會喝吧？,Youtube,0,"[('原住民', '喝酒')]"
16790,我很羨慕原住民，五官深邃就算了，眉宇之間還都有一種莫名吸引人的靈氣，個性又很好相處！而且原住民這個身份會考有加分啊啊！！羨慕的要死,Youtube,0,"[('原住民', '五官'), ('原住民', '加分')]"
16913,原住民的文化大多都是陋習了,Youtube,1,"[('原住民', '文化')]"
17055,玩交友軟體遇到一個住台東的網友，直覺反應覺得對方是原住民 ,Youtube,0,"[('原住民', '台東')]"
17453,原住民很會唱歌很會跳舞、跑步跑超快,Youtube,0,"[('原住民', '唱歌')]"
17558,原住民給人的印象就是這樣，愛喝酒，不自愛，很傻很笨，環境髒亂，生活水平低,Youtube,0,"[('原住民', '喝酒')]"
17633,原住民小孩都是騎山豬上下課的啦,Youtube,0,"[('原住民', '山豬')]"
17725,原住民唱歌都很好聽,Youtube,0,"[('原住民', '唱歌')]"
17804,超喜歡跟原住民相處，很幽默樂觀，很會炒熱氣氛，有他們在的地方都不會冷場，而且超好相處也蠻有正義感,Youtube,0,"[('原住民', '幽默'), ('原住民', '樂觀')]"
17938,原住民很棒啊，都很好客又熱情，去台東花蓮的時候，他們都煮一堆好料的請我們吃，都可以辦桌了,Youtube,0,"[('原住民', '台東'), ('原住民', '花蓮'), ('原住民', '好客')]"
17994,原住民唱歌好聽，幽默，唸書也非常厲害，讚！,Youtube,0,"[('原住民', '唱歌'), ('原住民', '幽默')]"
17995,我是台越混血兒，我皮膚本來就比較黑，輪廓很深，每次別人都問我你是原住民嗎？,Youtube,0,"[('原住民', '黑'), ('原住民', '輪廓')]"
18068,我對原住民的印像就是他們就是會把爛梗講得很好笑，因為他們真的很幽默很好笑，我超愛原住民，自己都想當原住民！,Youtube,0,"[('原住民', '幽默')]"
18084,你不是原住民嗎？說說看你的族語,Youtube,0,"[('原住民', '族語')]"
18098,我對原住民的印象就是熱情，有幽默感、唱歌很好、愛喝酒，所以酒量很好,Youtube,0,"[('原住民', '唱歌'), ('原住民', '幽默'), ('原住民', '喝酒'), ('原住民', '酒量')]"
18110,原住民人都很好，很愛開玩笑和喝酒,Youtube,0,"[('原住民', '喝酒')]"
18113,你們原住民很特別唷，唱歌都超級好聽耶,Youtube,0,"[('原住民', '唱歌')]"
18128,我唱歌都被誤會是不是原住民 ,Youtube,0,"[('原住民', '唱歌')]"
18172,原住民講話超幽默,Youtube,0,"[('原住民', '幽默')]"
18206,原住民就是沒教養吧,Youtube,1,"[('原住民', '性格/行為')]"
18378,原住民很幽默可愛,Youtube,0,"[('原住民', '幽默')]"
18389,原住民就是幽默,Youtube,0,"[('原住民', '幽默')]"
18417,我都會羨慕原住民呢，都可以加分,Youtube,0,"[('原住民', '加分')]"
18425,你是花蓮人喔！你是原住民嗎？你家有電嗎？有網路嗎？你會騎山豬嗎？,Youtube,0,"[('原住民', '山豬'), ('原住民', '花蓮')]"
18435,你是原住民喔！你們都是騎山豬上課嗎？你們家有瓦斯喔？我以為你們都燒火煮水的,Youtube,0,"[('原住民', '山豬')]"
18447,你們原住民都很愛喝酒,Youtube,0,"[('原住民', '喝酒')]"
18448,原住民真的會怪腔怪調很可愛,Youtube,0,"[('原住民', '性格/行為')]"
18482,以前大學是原住民社，我一唱歌跳舞其他社員以為我也是原住,Youtube,0,"[('原住民', '唱歌')]"
18545,我喜歡原住民，眼睛很漂亮，超會唱歌，歌聲好聽,Youtube,0,"[('原住民', '唱歌'), ('原住民', '歌聲')]"
18581,花蓮人就會一直被問說你是原住民嗎,Youtube,0,"[('原住民', '花蓮')]"
