Sentence ID,Biased Sentences,Toxicity,T-A Combination,Sources
7295,現在女人鬧離婚跟換工作一樣，結婚直接去登記就好了。,0,"[('女人', '結婚')]",Youtube
7317,可是女生的標準又很高我們怎麼好交的到還有結婚,0,"[('女生', '結婚')]",Youtube
7449,寧可跟錢結婚，也不願跟愛錢的女人結婚。,0,"[('女人', '結婚'), ('女人', '愛錢')]",Youtube
7519,現代婚姻毫無意義，現在90%以上的女人也不能當老婆,0,"[('女人', '婚姻')]",Youtube
8852,就只是溫柔對待而已，不要碎念沒什麼訣竅，說來簡單，但大部分女生都做不到,0,"[('女生', '溫柔')]",Youtube
9000,女生可以不要結婚呀，但如果要結，現在就是會把打理家裡的責任給女生，不能接受就別結了,0,"[('女生', '結婚')]",Youtube
9100,我沒有人強迫他去賺錢， 我很樂意自己一個人去扛， 讓他可以留在家中學當好一個女人的角色， 但他煮飯也煮好幾個小時，我每天回家也要餓幾小時才會有飯吃，到後來我乾脆在外面吃完，家務也不很會做,0,"[('女人', '家務')]",Youtube
9122,如果是我的話～喜歡...不麻煩的女人 ,0,"[('女人', '麻煩')]",Youtube
9123,女生有這些條件，可能也不想結婚或不需要結婚,0,"[('女生', '結婚')]",Youtube
9171,如果要女生分攤家計，那女生就不會想結婚，因為單身過生活的品質更高，會想要結婚的人，是心裡缺乏哪部分，需要另一半的支援，才會想結婚⋯,0,"[('女生', '結婚')]",Youtube
9185,有些不想結婚的女性變成深宮怨婦很可怕,1,"[('女性', '結婚')]",Youtube
9733,女生讀理工很厲害，但女生讀文組研究生實力更加堅強,0,"[('女生', '文組')]",Youtube
9956,女性過於強調自己的弱勢，放著各種不平等的既存事實想視若無睹,0,"[('女性', None)]",Youtube
10798,女人讀那麼高幹嘛？還不是結婚後在廚房煮飯，廁所打掃,0,"[('女人', '結婚')]",Youtube
11004,根本不用真的性騷或開黃腔等任何具體行為，也不需要證據，女性指控你的那刻起你就已經是罪犯,0,"[('女性', '騷擾')]",Youtube
11234,為何發生性騷擾的當下，女生們不尋求幫助或通報,0,"[('女生', '騷擾')]",Youtube
11599,女生有時候會過度敏感，然後捏造騷擾的真相,0,"[('女生', '騷擾'), ('女生', '敏感')]",Youtube
11617,大多數女生有夠可悲，不過就是被人摸就能說是性騷擾,1,"[('女生', '騷擾')]",Youtube
12568,女生真的有在擔心晚上出門嗎？多得是夜生活比我還美麗的,0,"[('女生', '情感/感情')]",Youtube
13678,平等健康是誰說了算？你嗎你算老幾啊，對女生有利就是平等健康，對女生不利就是奴役,1,"[('女生', None)]",Youtube
15345,我是覺得小碎花洋裝比較適合長得可愛的女生來穿，才不會太顯老,0,"[('女生', '老'), ('女生', '碎花')]",Youtube
15544,女生的碎花洋裝最好看,0,"[('女生', '碎花')]",Youtube
15566,穿碎花風的女生超美，尤其帶一點骨感！,0,"[('女生', '美'), ('女生', '碎花'), ('女生', '骨感')]",Youtube
16562,老是看到有人罵台女愛挑,0,"[('台女', '台女')]",Youtube
18948,女性只要不要胖或老，我都可以接受,0,"[('女性', '胖'), ('女性', '老')]",Youtube
18995,看完覺得女生好難搞,1,"[('女生', '難搞')]",Youtube
19012,不是所有的女生都難搞，但是有八成的女生都這樣,1,"[('女生', '難搞')]",Youtube
19053,太可怕了，女生太難搞了,1,"[('女生', '難搞')]",Youtube
19066,女生真的好麻煩，自己身為女生，目前還莫名奇妙有個女同事對我生悶氣,1,"[('女生', '麻煩')]",Youtube
19089,同感，女生真的好難搞…,1,"[('女生', '難搞')]",Youtube
19094,為什麼女生會這麼難搞？明明直接說出來不是才能解決問題嗎,1,"[('女生', '難搞')]",Youtube
19141,不是全部女生難搞，是大部分女生思維邏輯都很矛盾。,1,"[('女生', '難搞')]",Youtube
19395,是說爲何難搞的女生都交的到另一半,1,"[('女生', '難搞')]",Youtube
19410,女生雖然很難搞，但還好不是大問題，找出癥結點，就氣消了,0,"[('女生', '難搞')]",Youtube
19615,當了三十年的女生，現在才發現原來我可能不是女生 ，原來女生那麼難搞,1,"[('女生', '難搞')]",Youtube
19680,其實我比較會生悶氣，比女生還難搞的那種，所以我女友都是比較理性的那一方,1,"[('女生', '難搞')]",Youtube
19804,女生難搞才是女生,1,"[('女生', '難搞')]",Youtube
19833,每個女生都很很難搞，能輕鬆了解那就不是女生了,1,"[('女生', '難搞')]",Youtube
19864,一堆女生自以為不難搞,1,"[('女生', '難搞')]",Youtube
20000,女生本來就是難伺候的生物啊，超級難搞，天生的基因沒辦法，很正的正妹就算了，難看的還是算了吧...,1,"[('女生', '正'), ('女生', '難搞')]",Youtube
20006,女人那麼難搞，電視節目都說給你聽了，要交女友乾脆去叫外送茶，還比較便宜,1,"[('女人', '難搞')]",Youtube
20055,女生好難搞，台女你懂的,1,"[('女生', '難搞')]",Youtube
20056,女生怎麼這麼麻煩,1,"[('女生', '麻煩')]",Youtube
20064,女生就是難搞，真的沒有什麼好說的,1,"[('女生', '難搞')]",Youtube
20067,女人就是個麻煩的東西 ️,1,"[('女人', '麻煩')]",Youtube
20093,女人就是麻煩的生物,1,"[('女人', '麻煩')]",Youtube
21321,女人老了就沒本錢,1,"[('女人', '老')]",Youtube
21368,女人就是愛錢,0,"[('女人', '愛錢')]",Youtube
21424,女人嘴巴很厲害，賺錢能力卻很差,1,"[('女人', '能力')]",Youtube
21442,老女人找愛情的困難度絕對是困難,1,"[('女人', '老')]",Youtube
21877,一堆老女人欺騙自己是富婆,1,"[('女人', '老')]",Youtube
22259,其實上天造萬物的規律都有其限制，社會太鼓吹做自己，卻忽略女生到三十歲結婚，有孩子都快34或35，那時的孩子跟生理生育條件其實都不是最佳的狀態了，對寶寶不是那麼安全。,0,"[('女生', '結婚'), ('女生', '孩子')]",Youtube
22315,女生超過35就真的大齡了，之後想找，第一要有錢，第二要夠漂亮，最好有點凍齡，沒有這兩點，35之後就不用考慮結婚了,0,"[('女生', '結婚'), ('女生', '漂亮'), ('女生', '大齡'), ('女生', '凍齡')]",Youtube
22461,現在女生都在挑高富帥... 有車有房BMI正常，愛運動不菸不酒孝順，每年可以帶他出國平常約會吃大餐,0,"[('女生', '物質')]",Youtube
22703,普偏的晚婚或不婚，其實問題多如牛毛、其中有一個問題從來沒人發現，那就是多數的女生都跟豬沒兩樣，幾乎買不到內褲穿、請問要如何結婚呢？,1,"[('女生', '結婚')]",Youtube
22892,女生沒結婚是不能入祖墳的,0,"[('女生', '結婚')]",Youtube
22899,女生會單身只有兩種情況，自己想單身，或是醜到會吐 ，不然女生想有對象都很容易!,1,"[('女生', '醜')]",Youtube
22940,好了啦老女人找不到人結婚就是這麼簡單，講一堆,1,"[('女人', '老'), ('女人', '結婚')]",Youtube
23217,當女人根本沒待遇，美女才有,0,"[('女人', '美')]",Youtube
23218,普女醜女根本沒人鳥,1,"[('普女', '醜')]",Youtube
23221,你是年輕女當然有人幫，換成老女人就沒有了,0,"[('女人', '老'), ('女人', '年輕')]",Youtube
23492,女生的優待都是在是正妹的情況下,0,"[('女生', '正')]",Youtube
23590,女生長得好看才有得享受啊，長得一般的基本上都沒有什麼好處，醜一點的就更沒有好處,0,"[('女生', '醜')]",Youtube
23678,醜女不會被當成女人,1,"[('女人', '醜')]",Youtube
23810,當女生也要長得美才有那些好處吧,0,"[('女生', '美')]",Youtube
24009,女生是長得美才有福利,0,"[('女生', '美')]",Youtube
24047,只有超級漂亮的女生才有那些待遇啦,0,"[('女生', '漂亮')]",Youtube
24272,其實說那麼多受到待遇的也只有漂亮女生而已，普普的或醜的根本就不會受到任何好處,0,"[('女生', '醜'), ('女生', '漂亮')]",Youtube
24304,只想是個女生就好就太天真了，長得不漂亮根本不會有人鳥你,0,"[('女生', '漂亮')]",Youtube
25804,女人真的很愛保養,0,"[('女人', '保養')]",Youtube
26022,女生出門前一定會先舖粉餅，再來畫眼線，然後再噴止汗的，好了以後還要再化妝，把自己畫的跟鬼一樣,1,"[('女生', '化妝')]",Youtube
26200,現在的女生就是這麼麻煩,1,"[('女生', '麻煩')]",Youtube
26207,女人就是麻煩 ,1,"[('女人', '麻煩')]",Youtube
26672,醜女說太多話，只會被說台女,0,"[('台女', '醜'), ('台女', '台女')]",Youtube
26833,女生只要正，有奶就夠了,0,"[('女生', '正'), ('女生', '奶')]",Youtube
28177,女生都很乾淨,0,"[('女生', '乾淨')]",Youtube
28542,女生容易被新出的甜點或化妝品吸引,0,"[('女生', '化妝'), ('女孩', '甜點')]",Youtube
28666,沒有女生愛洗頭的,0,"[('女生', '洗頭')]",Youtube
28903,結論就是女人好麻煩,1,"[('女人', '麻煩')]",Youtube
28906,女生的名字叫麻煩,1,"[('女生', '麻煩')]",Youtube
28995,女生對胖這個字很敏感  ,0,"[('女生', '胖')]",Youtube
30024,要讓女生砰然心動的前提大部分還是看顏值，帥的就心動，醜的當工具人,0,"[('女生', '工具人')]",Youtube
31030,女生就是很難搞的生物,1,"[('女生', '難搞')]",Youtube
31716,為什麼女生那麼愛聽甜言蜜語,0,"[('女生', '甜言蜜語')]",Youtube
31840,女生要懂得保護自己，設立界線，不然事後受傷的是自己,0,"[('女生', '保護自己')]",Youtube
32529,女生是心的視野太窄，才會太多小劇場，女生需要多多見更多世面，比較不會胡思亂想。,0,"[('女生', '小劇場'), ('女生', '胡思亂想')]",Youtube
32679,一看...就知道是個老處女了,1,"[('處女', '老')]",Youtube
33508,女人才不會去在乎當小三小四，只要你錢能餵飽就行，前陣子還有個女星交個富商，還公開說他讓我相信世界真的有真愛，錢花下去就是真愛了是吧，窮人沒真愛是吧,0,"[('女人', '物質')]",Youtube
34088,好好說話有這麼難嗎？非得拐彎抹角嗎？ 女人真難懂！,0,"[('女人', '難懂')]",Youtube
34919,每個女生都應該要溫柔體貼,0,"[('女生', '溫柔'), ('女生', '體貼')]",Youtube
36107,單身哪裡不好了，女人很麻煩的,1,"[('女人', '麻煩')]",Youtube
36320,女生就是應該要留長髮，美美的，女生就要有女生的樣子,0,"[('女生', '長髮')]",Youtube
36468,幾何、物理之類的女生比較不行,0,"[('女生', '學術領域')]",Youtube
36681,女生不能罵髒話,0,"[('女生', None)]",Youtube
29984,女生會說我把你當工具人，但是那是你自己願意付出，你也覺得很快樂，都是你自己做出的選擇,0,"[('女生', '工具人')]",PTT
64199,因為三次元的女人更難搞,1,"[('女人', '難搞')]",PTT
85727,當家庭主婦很多沒得選社會壓力，女性還是應該在家帶小孩,0,"[('女性', '家庭主婦', ('女性', '小孩'))]",PTT
154494,唉台女真難搞,1,"[('台女', '難搞'), ('台女', '台女')]",PTT
245391,正妹同事都公主難搞的要命,1,"[('正妹', '難搞')]",PTT
404351,首先你要當工具人，學習如何被台女壓榨,1,"[('台女', '工具人'), ('台女', '台女')]",PTT
487569,台女真的是白痴,1,"[('台女', '白痴'), ('台女', '台女')]",PTT
681813,台女世界第一難搞,1,"[('台女', '難搞'), ('台女', '台女')]",PTT
780816,等你讓台女聽到你薪水領兩萬多，看到勢利眼台女翻白眼的時候你就知道有沒有差了 ,1,"[('台女', '勢利'), ('台女', '台女')]",PTT
811364,我會組電腦可是沒女生找我當工具人怎麼辦？,0,"[('女生', '工具人')]",PTT
1069275,正妹都有工具人幫他加油啊,0,"[('正妹', '工具人')]",PTT
1255102,沒有不好看呀，正妹很難搞,1,"[('正妹', '難搞')]",PTT
1266905,是正妹找工具人，是肥宅去當肥羊,1,"[('正妹', '工具人')]",PTT
1357961,把別人當療傷工具人，跟正妹有87趴像,1,"[('正妹', '工具人')]",PTT
1420523,就台女把工具人當備胎，但沒事不會去惡搞自己工具人,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
2847883,女生就是賤，只是把你當工具人而已,1,"[('女生', '工具人')]",PTT
3167474,跟台女一樣吃膩花膩了，再回頭找工具人,1,"[('台女', '工具人'), ('台女', '台女')]",PTT
3458688,女生用追的只會變成工具人唷,0,"[('女生', '工具人')]",PTT
5225562,肥宅工具人專幫女生煮飯打掃修東西,1,"[('女生', '工具人')]",PTT
5318965,女人啊，真難搞,1,"[('女人', '難搞')]",PTT
5318976,笑死 ，女人超難搞,1,"[('女人', '難搞')]",PTT
6766597,女生極度難搞,1,"[('女生', '難搞')]",PTT
6766817,感覺女生喜歡猛烈追求的工具人型，好難搞還是算了吧,1,"[('女生', '工具人'), ('女生', '難搞')]",PTT
6819970,不要就是要，停就是不要停 女人很難搞的啦,1,"[('女人', '難搞')]",PTT
6819986,誠實也不行，這就是女人難搞的原因,1,"[('女人', '難搞')]",PTT
7319753,世界是很殘酷的，台女是很現實勢利的生物看到更好的馬上就跑,1,"[('台女', '現實'), ('台女', '勢利'), ('台女', '台女')]",PTT
7925639,台女養好幾個工具人沒問題，真棒,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
8041275,台女找工具人出錢含機車接送,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
8051056,台女要求工具人付錢的習慣永世流傳,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
9072109,這好像被正妹使喚的工具人,0,"[('正妹', '工具人')]",PTT
9593273,台女上大學後都很勢利的,1,"[('台女', '勢利'), ('台女', '台女')]",PTT
9976089,關心不介入，標準台女對工具人,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
10411508,真是台女典範，總是可以找到工具人,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
10567777,台女學學好嗎，一直找工具人,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
10673679,女生都是虛偽的，想要高富帥又不想被覺得庸俗勢利,1,"[('女生', '勢利')]",PTT
10987351,台女還真難搞，這又是一個經典案例,1,"[('台女', '難搞'), ('台女', '台女')]",PTT
11332462,台女能有那麼多工具人不就是靠臉嗎,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
11381196,馬的 老台女很難搞的,1,"[('台女', '難搞'), ('台女', '老'), ('台女', '台女')]",PTT
11516151,女人出來工作一堆毛，乖乖當家庭主婦就好,1,"[('女人', '家庭主婦')]",PTT
11524657,乾你屁事？台女真難搞，太癡情還會扣分,1,"[('台女', '難搞'), ('台女', '台女')]",PTT
11868275,女生出門穿著太暴露長太漂亮，肯定是想色誘警察，意圖顛覆國家，擾亂法治，一律帶走好好偵訊。,1,"[('女生', '暴露')]",PTT
11951147,女性通常都有兩、三隻以上的工具人，這你都不知道,0,"[('女性', '工具人')]",PTT
12025479,全球最強工具人，台女才是關鍵,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
12086881,大部分台女根本只想找工具人,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
12143805,台女只是缺工具人司機,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
12782559,女生只會把你當工具人,0,"[('女生', '工具人')]",PTT
13033090,你要改掉不經腦子說實話的習慣 女生就是這麼難搞,1,"[('女生', '難搞')]",PTT
13334446,假新聞 ，怎可能如此勢利？這台女吧,1,"[('台女', '勢利'), ('台女', '台女')]",PTT
14658020,因為台女比慣老闆更難搞,1,"[('台女', '難搞'), ('台女', '台女')]",PTT
14779055,沒有工具人，別說你是台女,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
16560772,台女典範，工具人用完就丟很合理,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
16703749,女人真的很難搞 ,1,"[('女人', '難搞')]",PTT
20180466,現在知道女人難搞了吧,1,"[('女人', '難搞')]",PTT
20818994,老台女又是公務體系的，大家都知道很難搞啦,1,"[('台女', '難搞'), ('台女', '老'), ('台女', '台女')]",PTT
21019963,現在台女很難搞,1,"[('台女', '難搞'), ('台女', '台女')]",PTT
21474771,擁有一整套工具人才是女人的浪漫,0,"[('女人', '工具人')]",PTT
22183206,一堆台女都這樣，還不是照樣有工具人幫忙,0,"[('台女', '工具人'), ('台女', '台女')]",PTT
22227075,女生就是這麼難搞,1,"[('女生', '難搞')]",PTT
22467190,說的真好，不只難搞根本就像女人玻璃心的感覺,1,"[('女人', '難搞'), ('女人', '玻璃心')]",PTT
22908459,被強暴的女生都是衣著暴露引人犯罪,0,"[('女生', '暴露')]",PTT
23372337,太多的女生很難搞，到最後只會弄得灰頭土臉他什麼都不告訴你，看著你犯錯，最後再說你莫名其妙,1,"[('女生', '難搞')]",PTT
25268359,女森為何從小就喜歡培養工具人,0,"[('女森', '工具人')]",PTT
25676646,女生就難搞阿，一兩句話就生氣,1,"[('女生', '難搞')]",PTT
26002578,牙助快追上空服員成為正妹代名詞了,0,"[('正妹', '牙助'), ('正妹', '空服員')]",PTT
26033202,台女真的很難搞欸，這樣也不行那樣也不行,1,"[('台女', '難搞'), ('台女', '台女')]",PTT
26033937,白痴台女,1,"[('台女', '白痴'), ('台女', '台女')]",PTT
26384169,考上老師前都說行政ok，考上後說自己有生涯規劃，女老師不意外，女老師跟女空服員一樣，只挑自己爽的吃，可悲台女,1,"[('台女', '空服員'), ('台女', '台女')]",PTT
27946075,最討厭這種愛養工具人的女生,0,"[('女生', '工具人')]",PTT
28198108,正妹都收集工具人好嗎,0,"[('正妹', '工具人')]",PTT
28542671,難搞的女人,1,"[('女人', '難搞')]",PTT
28688760,女人跟女人在一起，就是難搞又毛一堆,1,"[('女人', '難搞')]",PTT
29681202,女生都這樣啊，敏感自卑多心難搞,1,"[('女生', '敏感'), ('女生', '難搞')]",PTT
29794425,東區一堆自以為是的勢利女生,1,"[('女生', '勢利')]",PTT
29838289,英國人本來就一堆垃圾，只有白痴台女在說英國紳士,1,"[('台女', '白痴'), ('台女', '台女')]",PTT
32394687,要找到聊的來的，才能有話題 ，有些女生真的難搞,1,"[('女生', '難搞')]",PTT
32438786,女人阿我知道了，家庭主婦,0,"[('女人', '家庭主婦')]",PTT
34446577,女人會賺錢就是難搞,1,"[('女人', '難搞')]",PTT
35106695,白痴女人,1,"[('女人', '白痴')]",PTT
35327504,女生肌肉太過發達，反而不性感,0,"[('女生', '性感')]",PTT
35968887,腰臀的比例才是女人性感的依據,0,"[('女人', '性感'), ('女生', '腰臀的比例')]",PTT
11438843,老女人吧,1,"[('女人', '老')]",PTT
20792265,是不是老女人? 裝年輕,1,"[('女人', '老'), ('女人', '年輕')]",PTT
13843419,去找媽媽學化妝啦！,0,"[('媽媽', '化妝')]",PTT
14551083,媽媽我想學化妝,0,"[('媽媽', '化妝')]",PTT
30142555,就說了，女人通常貪婪又自私。長得正，沒有那個內在也是沒用。不然，媽媽怎麼會跟你說，漂亮的女生最會騙人,1,"[('女人', '正'), ('女生', '漂亮')]",PTT
3121,要偏褒義的字應該是女性化或有女人味之類的吧womanly或是陰柔氣質,0,"[('女人', '陰柔')]",PTT
8194778,阿海本來就有點女性化，有點陰柔的特質,0,"[('女性', '陰柔')]",PTT
33032920,老處女，臭鮑魚,1,"[('處女', '老')]",PTT
